// General Interaction

test|["Yes, I'm here!!", "Hey there! I'm online and ready to chat.", "Present and ready to help!"] 


mood_positive|["That's great to hear!", "Awesome!! I'm glad to hear that ;)"]


mood_negative|["I'm sorry to hear that. I'm here to help.", "Oh no, Hope all is okay :( ", "That sounds frustrating."]


how are you|["I'm doing great! How about you?", "Feeling cyber-secure and ready to assist — how are you?", "All systems go! How are you ?."] 


purpose|["I'm here to help you stay safe online by providing cybersecurity tips!", "I’m your cybersecurity companion. Ask me anything to stay safe on the internet.", "My job is to guide you through safe online practices. Ask away!"]


ask you|["You can ask me about things like: > Phishing > Password safety > Safe browsing tips", "Need help with cybersecurity? I cover: > Phishing > Password safety > Safe browsing", "I'm good with: > Phishing > Password safety > Safe browsing"]


yes|["Sure! What would you like me to clarify?", "Absolutely! Let's dive in.", "Of course. What can I help with?"]


no|["Awesome, thanks for the chat ;)", "Okay, take care and stay cyber-safe!", "All right! Let me know if you need help later."]


thank you|["Glad I could help! Anything else?", "You're welcome! Stay safe online.", "Happy to help. Got any other questions?"]


thanks|["No problem, glad I could help.", "All good, good to chat !! :)"]


question|["Fire away ;) I'm here to help !!"]


questions|["Fire away ;) I'm here to help !!"]


questions can|["I can assist with cyber-security related questions, such as phishing, password safety, and safe browsing practices"]


help|["Sure, no problem! What would you like help with?", "I'm here to assist. What do you need?", "Of course! Tell me what you're stuck on."]


goodbye|["Cheers, thanks for the chat ;)", "Goodbye! Stay safe and secure.", "See you later! Don’t forget to use strong passwords."]


joke|["Why did the computer show up at work late?...... It had a hard drive.", "Why do hackers wear leather jackets? Because they love to break the code!", "Why was the smartphone acting shy? It lost its sense of security."]


good thanks|["Cool, no problem.", "Glad to hear it!", "Awesome. If you have any questions, let me know."]


// PHISHING


phishing|["Phishing is a scam where fake messages lure people into revealing sensitive data like passwords or banking info.", "Phishing is a cyberattack where deceptive messages trick users into giving up personal info.", "Think of phishing as bait — scammers use emails or texts to hook you into clicking bad links."]


examples of phishing|["> Fake emails from banks or services asking you to log in > Texts with urgent language and suspicious links > Social media messages with strange links", "> Messages saying 'Your account is locked!' and asking for details > Fake tech support pop-ups > Emails with unexpected attachments"]


phishing examples|["Examples include: > 'Your account has been suspended' emails > Fake websites mimicking real ones > Messages urging you to confirm payment info urgently", "You might see: > Emails from 'Netflix' asking you to update billing > Links that look like PayPal but are slightly misspelled"]


avoid phishing|["> Use spam filters > Don’t trust urgent requests for personal info > Never share passwords via email or text", "Be skeptical of messages that seem off. When in doubt, contact the company directly.", "Don’t click — investigate. When a message feels fishy, it probably is."]


identify phishing|["Look for: > Spelling errors > Urgent or threatening tone > Mismatched URLs or sender addresses", "If the message says something bad will happen *right now* unless you act — that’s a red flag.", "Hover over links: If the destination looks odd or misspelled, it's likely phishing."]


phishing tips|["Don't click suspicious links or attachments","Always verify the sender’s email address","Hover over links to check the real URL before clicking","Be cautious of messages with urgent or threatening language","Never share personal or financial information via email or text"]


